instance_id,repo,difficulty,patch_files,patch_lines,FTP,PTP,image
marshmallow-code__marshmallow-1343,marshmallow-code/marshmallow,,1,4,1,24,swebench/sweb.eval.x86_64.marshmallow-code_1776_marshmallow-1343:latest
marshmallow-code__marshmallow-1359,marshmallow-code/marshmallow,,1,2,1,76,swebench/sweb.eval.x86_64.marshmallow-code_1776_marshmallow-1359:latest
pvlib__pvlib-python-1072,pvlib/pvlib-python,,1,5,1,18,swebench/sweb.eval.x86_64.pvlib_1776_pvlib-python-1072:latest
pvlib__pvlib-python-1154,pvlib/pvlib-python,,1,5,1,97,swebench/sweb.eval.x86_64.pvlib_1776_pvlib-python-1154:latest
pvlib__pvlib-python-1606,pvlib/pvlib-python,,1,36,1,10,swebench/sweb.eval.x86_64.pvlib_1776_pvlib-python-1606:latest
pvlib__pvlib-python-1707,pvlib/pvlib-python,,1,21,1,30,swebench/sweb.eval.x86_64.pvlib_1776_pvlib-python-1707:latest
pvlib__pvlib-python-1854,pvlib/pvlib-python,,1,11,1,281,swebench/sweb.eval.x86_64.pvlib_1776_pvlib-python-1854:latest
pydicom__pydicom-1139,pydicom/pydicom,,1,20,3,38,swebench/sweb.eval.x86_64.pydicom_1776_pydicom-1139:latest
pydicom__pydicom-1256,pydicom/pydicom,,1,3,1,22,swebench/sweb.eval.x86_64.pydicom_1776_pydicom-1256:latest
pydicom__pydicom-1413,pydicom/pydicom,,1,19,3,301,swebench/sweb.eval.x86_64.pydicom_1776_pydicom-1413:latest
pydicom__pydicom-1694,pydicom/pydicom,,1,2,1,26,swebench/sweb.eval.x86_64.pydicom_1776_pydicom-1694:latest
pydicom__pydicom-901,pydicom/pydicom,,1,28,5,0,swebench/sweb.eval.x86_64.pydicom_1776_pydicom-901:latest
pylint-dev__astroid-1196,pylint-dev/astroid,,1,15,2,24,swebench/sweb.eval.x86_64.pylint-dev_1776_astroid-1196:latest
pylint-dev__astroid-1268,pylint-dev/astroid,,1,4,1,91,swebench/sweb.eval.x86_64.pylint-dev_1776_astroid-1268:latest
pylint-dev__astroid-1333,pylint-dev/astroid,,1,8,1,46,swebench/sweb.eval.x86_64.pylint-dev_1776_astroid-1333:latest
pylint-dev__astroid-1866,pylint-dev/astroid,,1,6,1,10,swebench/sweb.eval.x86_64.pylint-dev_1776_astroid-1866:latest
pylint-dev__astroid-1978,pylint-dev/astroid,,1,27,1,12,swebench/sweb.eval.x86_64.pylint-dev_1776_astroid-1978:latest
pyvista__pyvista-4315,pyvista/pyvista,,1,21,1,114,swebench/sweb.eval.x86_64.pyvista_1776_pyvista-4315:latest
sqlfluff__sqlfluff-1517,sqlfluff/sqlfluff,,1,11,1,42,swebench/sweb.eval.x86_64.sqlfluff_1776_sqlfluff-1517:latest
sqlfluff__sqlfluff-1625,sqlfluff/sqlfluff,,1,2,1,64,swebench/sweb.eval.x86_64.sqlfluff_1776_sqlfluff-1625:latest
sqlfluff__sqlfluff-1733,sqlfluff/sqlfluff,,1,4,1,3,swebench/sweb.eval.x86_64.sqlfluff_1776_sqlfluff-1733:latest
sqlfluff__sqlfluff-1763,sqlfluff/sqlfluff,,1,25,3,63,swebench/sweb.eval.x86_64.sqlfluff_1776_sqlfluff-1763:latest
sqlfluff__sqlfluff-2419,sqlfluff/sqlfluff,,1,6,1,0,swebench/sweb.eval.x86_64.sqlfluff_1776_sqlfluff-2419:latest
